source,target,number of recipes,breakfast,brunch,lunch,dinner,dessert,ice cream,drink,vegan,vegetarian
coconut,okra,2,0,0,0,0,0,0,0,0,2
coconut,papaya,2,0,0,0,0,1,0,1,0,0
coconut,pork,2,0,0,1,0,0,0,0,0,0
coconut,sausage,2,0,0,0,0,0,0,0,0,0
coconut,scallop,2,0,0,0,0,0,0,0,0,0
coconut,soy sauce,2,0,0,0,0,0,0,0,1,1
coconut,squash,2,0,0,0,0,0,0,0,1,1
coconut,tequila,2,0,0,0,0,0,0,2,0,0
cod,dill,2,0,0,1,1,0,0,0,0,0
cod,leafy green,2,0,0,0,1,0,0,0,0,0
cod,lemon,2,0,0,0,1,0,0,0,0,0
cod,lime,2,0,0,0,1,0,0,0,0,0
cod,mayonnaise,2,0,0,1,0,0,0,0,0,0
cod,mint,2,0,0,0,1,0,0,0,0,0
cod,mussel,2,0,0,0,0,0,0,0,0,0
cod,mustard,2,0,0,1,0,0,0,0,0,0
cod,sausage,2,0,0,0,1,0,0,0,0,0
cod,scallop,2,0,0,0,0,0,0,0,0,0
coffee,fruit juice,2,0,0,0,0,2,0,0,0,0
coffee,honey,2,0,0,0,0,2,0,0,0,2
coffee,jalapeno,2,0,0,0,1,0,0,0,0,0
coffee,jam or jelly,2,0,0,0,0,2,0,0,0,2
coffee,paprika,2,0,0,0,0,0,0,0,0,0
coffee,peanut,2,0,0,0,0,1,0,0,0,1
coffee,pear,2,0,0,0,0,2,0,0,0,2
coffee,pernod,2,0,0,0,0,2,0,1,0,1
coffee,poultry,2,0,0,0,2,0,0,0,0,0
coffee,tangerine,2,0,0,0,2,0,0,0,0,0
coffee,tomato,2,0,0,0,0,0,0,0,0,0
coffee,whiskey,2,0,0,0,0,1,0,1,0,1
cognac/armagnac,dried fruit,2,0,0,0,1,1,0,0,0,1
cognac/armagnac,duck,2,0,0,0,1,0,0,0,0,0
cognac/armagnac,fish,2,0,0,0,0,0,0,0,0,0
cognac/armagnac,fruit juice,2,0,0,0,0,0,0,2,0,0
cognac/armagnac,ginger,2,0,0,0,0,2,0,0,0,1
cognac/armagnac,goose,2,0,0,0,1,0,0,0,0,0
cognac/armagnac,leek,2,0,0,0,1,0,0,0,0,0
cognac/armagnac,mustard,2,0,0,0,0,0,0,0,0,0
cognac/armagnac,parsley,2,0,0,0,0,0,0,0,0,0
cognac/armagnac,pasta,2,0,0,0,1,0,0,0,0,0
cognac/armagnac,raspberry,2,0,0,0,0,2,0,0,0,1
cognac/armagnac,rye,2,0,0,0,0,0,0,2,0,0
cognac/armagnac,sage,2,0,0,0,0,0,0,0,0,0
cognac/armagnac,sour cream,2,0,0,0,0,2,0,0,0,0
cognac/armagnac,strawberry,2,0,0,0,0,2,0,0,0,2
cognac/armagnac,thyme,2,0,0,0,0,0,0,1,0,0
cognac/armagnac,tomato,2,0,0,0,1,0,0,0,0,0
cognac/armagnac,vanilla,2,0,0,0,0,2,0,0,0,2
cognac/armagnac,wine,2,0,0,0,0,0,0,2,0,0
collard greens,garlic,2,0,0,0,0,0,0,0,0,1
collard greens,mustard,2,0,0,0,0,0,0,0,2,2
collard greens,tomato,2,0,0,0,1,0,0,0,0,1
collard greens,turnip,2,0,0,0,0,0,0,0,0,1
coriander,feta,2,1,1,0,0,0,0,0,0,1
coriander,green onion/scallion,2,0,1,0,0,0,0,0,1,2
coriander,leafy green,2,0,0,1,0,0,0,0,0,0
coriander,lettuce,2,0,0,0,0,0,0,0,2,2
coriander,milk/cream,2,0,0,0,0,0,0,1,0,0
coriander,mushroom,2,0,0,0,1,0,0,0,0,0
coriander,nutmeg,2,0,0,0,0,0,0,1,0,0
coriander,pecan,2,0,0,0,0,0,0,0,2,2
coriander,pistachio,2,0,0,0,0,0,0,0,0,1
coriander,poultry,2,0,0,1,1,0,0,0,0,0
coriander,sweet potato/yam,2,0,1,1,0,0,0,0,0,2
coriander,tamarind,2,0,0,0,2,0,0,0,0,0
coriander,venison,2,0,0,0,1,0,0,0,0,0
coriander,vinegar,2,0,0,0,0,0,0,0,1,1
coriander,white wine,2,0,0,0,2,0,0,0,0,0
corn,curry,2,0,0,0,0,0,0,0,0,1
corn,dill,2,0,0,0,1,0,0,0,1,2
corn,eggplant,2,0,0,0,0,0,0,0,0,2
corn,ham,2,1,1,0,0,0,0,0,0,0
corn,leek,2,0,0,2,0,0,0,0,0,0
corn,legume,2,0,0,0,2,0,0,0,1,1
corn,lemon,2,0,0,0,0,0,0,0,1,1
corn,lime juice,2,0,0,0,0,0,0,0,0,0
corn,mango,2,0,0,0,0,0,0,0,0,0
corn,mayonnaise,2,0,0,0,0,0,0,0,1,1
corn,mushroom,2,0,0,1,1,0,0,0,0,0
corn,pine nut,2,0,0,0,2,0,0,0,0,1
corn,plantain,2,0,0,0,0,0,0,0,0,0
corn,prosciutto,2,0,0,0,0,0,0,0,0,0
corn,scallop,2,0,0,0,0,0,0,0,0,0
corn,swiss cheese,2,0,1,1,0,0,0,0,0,1
corn,tofu,2,0,0,0,0,0,0,0,0,0
corn,tomatillo,2,0,0,0,1,0,0,0,0,0
corn,vinegar,2,0,0,0,0,0,0,0,2,2
corn,yogurt,2,1,1,0,0,0,0,0,0,1
corn,yuca,2,0,0,0,0,0,0,0,0,0
cornmeal,crab,2,0,0,0,0,0,0,0,0,0
cornmeal,eggplant,2,0,0,0,1,0,0,0,0,1
cornmeal,goat cheese,2,0,0,0,0,0,0,0,0,1
cornmeal,green onion/scallion,2,0,0,1,2,0,0,0,0,0
cornmeal,jam or jelly,2,0,0,0,0,2,0,0,0,2
cornmeal,kale,2,0,0,0,0,0,0,0,0,1
cornmeal,olive,2,0,0,0,0,0,0,0,0,1
cornmeal,orange,2,1,0,0,0,2,0,0,0,0
cornmeal,parsley,2,0,0,0,0,0,0,0,0,1
cornmeal,peach,2,1,0,0,0,1,0,0,0,0
cornmeal,pear,2,0,0,0,0,2,0,0,0,2
cornmeal,raspberry,2,2,2,0,0,0,0,0,0,1
cornmeal,red wine,2,0,0,0,1,0,0,0,0,0
cornmeal,salmon,2,0,1,1,0,0,0,0,0,0
cornmeal,sweet potato/yam,2,0,0,0,0,0,0,0,0,2
cornmeal,trout,2,0,0,0,0,0,0,0,0,0
cornmeal,white wine,2,0,0,0,1,0,0,0,0,0
cornmeal,yogurt,2,1,1,0,0,0,0,0,0,1
cottage cheese,cream cheese,2,1,2,0,0,1,0,0,0,2
cottage cheese,feta,2,0,0,0,0,0,0,0,0,2
cottage cheese,onion,2,0,0,1,0,0,0,0,0,1
cottage cheese,orange,2,0,0,0,0,2,0,0,0,1
cottage cheese,pasta,2,0,0,0,0,1,0,0,0,2
cottage cheese,pineapple,2,0,0,0,0,1,0,0,0,1
cottage cheese,walnut,2,0,0,0,0,1,0,0,0,2
couscous,goat cheese,2,0,0,1,1,0,0,0,0,1
couscous,milk/cream,2,0,0,0,0,2,0,0,0,2
couscous,mussel,2,0,0,0,0,0,0,0,0,0
couscous,sausage,2,0,0,0,0,0,0,0,0,0
couscous,turnip,2,0,0,1,0,0,0,0,1,1
couscous,yogurt,2,0,0,0,1,0,0,0,0,0
crab,cream cheese,2,0,0,0,0,0,0,0,0,0
crab,green onion/scallion,2,0,1,2,1,0,0,0,0,0
crab,jicama,2,0,0,0,0,0,0,0,0,0
crab,orange,2,0,0,1,0,0,0,0,0,0
crab,parsley,2,0,0,0,0,0,0,0,0,0
crab,pork,2,0,0,0,0,0,0,0,0,0
crab,scallop,2,0,0,0,0,0,0,0,0,0
crab,sherry,2,0,0,0,1,0,0,0,0,0
crab,wine,2,0,0,0,0,0,0,0,0,0
cranberry,cranberry sauce,2,0,0,0,1,0,0,0,0,0
cranberry,garlic,2,0,0,1,1,0,0,0,0,1
cranberry,hominy/cornmeal/masa,2,2,2,0,0,1,0,0,1,2
cranberry,kirsch,2,0,0,0,0,1,0,1,0,0
cranberry,lamb,2,0,0,0,0,0,0,0,0,0
cranberry,lemon juice,2,0,0,0,0,0,0,0,1,1
cranberry,lettuce,2,0,0,2,1,0,0,0,1,2
cranberry,marsala,2,0,0,0,0,0,0,0,2,2
cranberry,oatmeal,2,0,0,0,0,2,0,0,0,2
cranberry,parsley,2,0,0,0,0,0,0,0,1,1
cranberry,phyllo/puff pastry dough,2,1,1,0,0,1,0,0,0,1
cranberry,pomegranate,2,0,0,0,1,0,0,0,1,1
cranberry,rhubarb,2,0,0,0,0,2,0,0,0,1
cranberry,sage,2,0,0,0,2,0,0,0,0,0
cranberry,salad dressing,2,0,0,0,0,0,0,0,0,0
cranberry,salmon,2,0,0,0,0,0,0,0,0,0
cranberry,soy,2,0,0,0,0,0,0,0,0,0
cranberry,sweet potato/yam,2,0,0,0,0,0,0,0,0,1
cranberry,tangerine,2,1,1,0,0,0,0,1,0,0
cranberry,thyme,2,0,0,0,0,1,0,0,1,1
cranberry,wild rice,2,0,0,0,0,0,0,0,0,0
cranberry sauce,ginger,2,0,0,0,1,0,0,0,0,0
cream cheese,endive,2,0,0,0,0,0,0,0,0,1
cream cheese,frangelico,2,0,0,0,0,2,0,0,0,2
cream cheese,grape,2,0,0,0,0,1,0,0,0,1
cream cheese,grapefruit,2,0,0,0,0,2,0,0,0,1
cream cheese,jalapeno,2,0,0,0,0,0,0,0,0,0
cream cheese,leafy green,2,0,0,0,1,0,0,0,0,0
cream cheese,leek,2,1,1,1,0,0,0,0,0,0
cream cheese,macadamia nut,2,0,0,0,0,2,0,0,0,1
cream cheese,olive,2,0,0,0,0,0,0,0,0,1
cream cheese,parsley,2,0,0,1,0,0,0,0,0,1
cream cheese,peach,2,0,0,0,0,2,0,0,0,2
cream cheese,pepper,2,0,0,0,0,0,0,0,0,1
cream cheese,phyllo/puff pastry dough,2,0,0,0,0,0,0,0,0,2
cream cheese,pine nut,2,0,0,0,0,1,0,0,0,1
cream cheese,poultry,2,0,0,0,1,0,0,0,0,0
cream cheese,swiss cheese,2,0,0,0,0,0,0,0,0,1
cream cheese,tarragon,2,1,1,0,0,0,0,0,0,0
cream cheese,triple sec,2,0,0,0,0,2,0,0,0,0
cream cheese,white wine,2,0,0,0,0,0,0,0,0,0
creme de cacao,gin,2,0,0,0,0,0,0,2,0,0
cucumber,halibut,2,0,0,1,2,0,0,0,0,0
cucumber,lamb chop,2,0,0,0,0,0,0,0,0,0
cucumber,lobster,2,0,0,0,0,0,0,0,0,0
cucumber,noodle,2,0,0,1,1,0,0,0,0,0
cucumber,pickles,2,0,0,0,0,0,0,0,0,0
cucumber,sake,2,0,0,0,0,0,0,1,0,0
cucumber,squash,2,0,0,0,0,0,0,0,0,0
cucumber,tamarind,2,0,0,0,0,0,0,0,0,1
cucumber,tequila,2,0,0,1,1,0,0,1,0,0
cucumber,trout,2,0,0,1,1,0,0,0,0,0
cumin,curry,2,0,0,0,1,0,0,0,0,1
cumin,dried fruit,2,0,0,0,2,0,0,0,0,0
cumin,fennel,2,0,0,0,0,0,0,0,0,1
cumin,jalapeno,2,0,0,0,2,0,0,0,0,0
cumin,lamb chop,2,0,0,0,0,0,0,0,0,0
cumin,lemon,2,0,0,0,2,0,0,0,0,0
cumin,mustard,2,0,0,0,0,0,0,0,1,2
cumin,pecan,2,0,0,0,0,0,0,0,2,2
cumin,pomegranate,2,0,0,1,2,0,0,0,1,1
cumin,shrimp,2,0,0,0,1,0,0,0,0,0
cumin,tilapia,2,0,0,0,0,0,0,0,0,0
currant,leafy green,2,0,0,0,0,0,0,0,0,1
currant,leek,2,0,0,0,0,0,0,0,0,0
currant,marsala,2,0,0,0,0,1,0,0,0,0
currant,molasses,2,0,0,0,0,1,0,0,0,1
currant,parmesan,2,0,0,0,0,0,0,0,0,1
currant,poultry sausage,2,0,0,0,0,0,0,0,0,0
currant,ricotta,2,1,1,0,0,2,0,0,0,1
currant,saffron,2,0,0,0,0,0,0,0,2,2
currant,sausage,2,0,0,0,0,0,0,0,0,0
currant,sour cream,2,1,1,0,0,1,0,0,0,2
curry,fennel,2,0,0,0,0,0,0,0,0,1
curry,fruit juice,2,0,0,0,0,0,0,0,1,1
curry,ground lamb,2,0,0,1,0,0,0,0,0,0
curry,ham,2,0,0,0,1,0,0,0,0,0
curry,lime juice,2,0,0,0,2,0,0,0,0,0
curry,mushroom,2,0,0,0,0,0,0,0,0,0
curry,mustard,2,0,0,1,0,0,0,0,0,1
curry,peach,2,0,0,0,1,0,0,0,0,0
curry,pepper,2,0,0,1,2,0,0,0,0,2
curry,pork tenderloin,2,0,0,0,1,0,0,0,0,0
curry,pumpkin,2,0,0,0,0,0,0,0,0,0
curry,rum,2,0,0,0,0,2,0,0,0,2
curry,sherry,2,0,0,0,1,0,0,0,0,0
curry,snapper,2,0,0,0,0,0,0,0,0,0
curry,soy,2,0,0,1,1,0,0,0,0,1
curry,tofu,2,0,0,1,1,0,0,0,0,1
curry,walnut,2,0,0,0,0,0,0,0,1,2
date,ginger,2,0,0,0,0,1,0,0,0,1
date,hot pepper,2,0,0,0,0,0,0,0,0,0
date,leafy green,2,0,0,0,0,0,0,0,0,0
date,lemon,2,1,0,0,0,0,0,0,1,1
date,mango,2,1,1,1,1,0,0,1,0,2
date,nutmeg,2,0,0,0,0,2,0,0,0,2
date,pear,2,0,0,0,0,1,0,0,0,1
date,sherry,2,0,0,0,1,0,0,0,1,1
dill,halibut,2,0,0,1,0,0,0,0,0,0
dill,jalapeno,2,0,0,0,0,0,0,0,0,0
dill,lentil,2,0,0,0,0,0,0,0,1,1
dill,peanut,2,0,0,1,0,0,0,0,0,0
dill,ricotta,2,0,0,1,1,0,0,0,0,2
dill,scallop,2,0,0,0,0,0,0,0,0,0
dill,squash,2,0,0,0,0,0,0,0,0,1
dill,veal,2,0,0,0,0,0,0,0,0,0
dill,walnut,2,0,0,0,0,0,0,0,1,2
dried fruit,endive,2,0,0,0,0,0,0,0,1,1
dried fruit,grape,2,0,0,0,0,1,0,0,1,1
dried fruit,hazelnut,2,0,0,0,0,0,0,0,1,1
dried fruit,hot pepper,2,0,0,0,0,0,0,0,2,2
dried fruit,jam or jelly,2,0,0,0,0,2,0,0,0,1
dried fruit,marsala,2,0,0,0,0,2,0,0,0,1
dried fruit,mushroom,2,0,0,0,0,0,0,0,0,1
dried fruit,paprika,2,0,0,0,0,0,0,0,1,1
dried fruit,parmesan,2,0,0,0,0,0,0,0,0,0
dried fruit,pork tenderloin,2,0,0,0,2,0,0,0,0,0
dried fruit,prosciutto,2,0,0,1,0,0,0,0,0,0
dried fruit,pumpkin,2,0,0,0,0,1,0,0,1,2
dried fruit,rhubarb,2,0,0,0,0,0,0,0,0,0
dried fruit,sage,2,0,0,0,0,0,0,0,0,0
dried fruit,sausage,2,0,0,0,0,0,0,0,0,0
dried fruit,sherry,2,0,0,0,1,0,0,0,1,1
dried fruit,soy sauce,2,0,0,0,1,0,0,0,0,0
dried fruit,spinach,2,0,0,0,0,0,0,0,1,1
dried fruit,thyme,2,0,0,0,1,0,0,0,0,0
dried fruit,watercress,2,0,0,0,1,0,0,0,2,2
dried fruit,whole wheat,2,1,1,0,0,0,0,0,0,1
duck,endive,2,0,0,0,0,0,0,0,0,0
duck,kumquat,2,0,0,0,0,0,0,0,0,0
duck,leek,2,0,0,0,1,0,0,0,0,0
duck,lime,2,0,0,0,0,0,0,0,0,0
duck,maple syrup,2,0,0,0,0,0,0,0,0,0
duck,parmesan,2,0,0,0,0,0,0,0,0,0
duck,pomegranate,2,0,0,0,0,0,0,0,0,0
duck,pork,2,0,0,0,1,0,0,0,0,0
duck,soy sauce,2,0,0,0,1,0,0,0,0,0
duck,watercress,2,0,0,0,0,0,0,0,0,0
eau de vie,raspberry,2,0,0,0,0,1,0,1,0,0
egg,endive,2,0,0,1,0,0,0,0,0,1
egg,grape,2,0,0,0,0,1,0,0,0,2
egg,legume,2,1,1,0,2,0,0,0,0,1
egg,marsala,2,0,0,0,0,2,0,0,0,1
egg,oregano,2,1,1,0,0,0,0,0,0,2
egg,parsnip,2,0,0,0,0,0,0,0,0,1
egg,pomegranate,2,0,0,0,0,2,0,0,0,2
egg,port,2,0,0,0,0,2,0,0,0,1
egg,quince,2,0,0,0,0,2,0,0,0,2
egg,rutabaga,2,0,2,0,2,0,0,0,0,0
egg,sake,2,1,1,1,0,0,0,0,0,1
egg,salad dressing,2,0,0,0,0,0,0,0,0,0
egg,scallop,2,0,0,0,0,0,0,0,0,0
egg,sugar snap pea,2,0,0,0,0,0,0,0,0,1
egg,tofu,2,0,0,1,1,0,0,0,0,1
egg,trout,2,0,0,0,0,0,0,0,0,0
egg,veal,2,0,0,0,0,0,0,0,0,0
egg,wild rice,2,0,0,0,0,0,0,0,0,0
egg nog,nutmeg,2,0,0,0,0,0,0,2,0,0
egg nog,rum,2,0,0,0,0,0,0,2,0,0
egg nog,vanilla,2,0,0,0,0,0,0,2,0,0
eggplant,halibut,2,0,0,0,2,0,0,0,0,0
eggplant,leafy green,2,0,0,0,1,0,0,0,0,1
eggplant,leek,2,0,0,0,0,0,0,0,1,2
eggplant,lemon,2,0,0,0,1,0,0,0,0,0
eggplant,lemon juice,2,0,0,0,0,0,0,0,2,2
eggplant,pomegranate,2,0,0,0,1,0,0,0,0,2
eggplant,radish,2,0,0,0,1,0,0,0,1,1
eggplant,raisin,2,0,0,0,0,0,0,0,2,2
eggplant,shrimp,2,0,0,0,1,0,0,0,0,0
eggplant,swordfish,2,0,0,1,1,0,0,0,0,0
eggplant,tuna,2,0,0,2,0,0,0,0,0,0
eggplant,yogurt,2,0,0,0,0,0,0,0,0,1
endive,feta,2,0,0,0,0,0,0,0,0,1
endive,lobster,2,0,0,2,0,0,0,0,0,0
endive,olive,2,0,0,0,0,0,0,0,1,1
endive,parsley,2,0,0,0,0,0,0,0,0,2
endive,pecan,2,0,0,0,0,0,0,0,0,1
endive,pork,2,0,0,0,0,0,0,0,0,0
endive,swiss cheese,2,0,0,0,0,0,0,0,0,0
endive,zucchini,2,0,0,0,0,0,0,0,2,2
escarole,kale,2,0,0,0,1,0,0,0,2,2
escarole,pork,2,0,0,0,0,0,0,0,0,0
escarole,prosciutto,2,0,0,0,0,0,0,0,0,0
escarole,prune,2,0,0,0,0,0,0,0,1,1
escarole,raisin,2,0,0,0,0,0,0,0,1,1
escarole,rosemary,2,0,0,0,0,0,0,0,0,0
escarole,salad dressing,2,0,0,1,1,0,0,0,0,0
escarole,sausage,2,0,0,0,0,0,0,0,0,0
escarole,spinach,2,0,0,1,0,0,0,0,0,1
escarole,vinegar,2,0,0,0,1,0,0,0,0,0
fennel,fig,2,0,0,0,0,0,0,0,0,1
fennel,ham,2,0,1,1,0,0,0,0,0,0
fennel,lentil,2,0,0,0,1,0,0,0,0,0
fennel,pea,2,0,0,1,1,0,0,0,0,0
fennel,pork chop,2,0,0,0,2,0,0,0,0,0
fennel,radicchio,2,0,0,0,0,0,0,0,2,2
fennel,sherry,2,0,0,0,0,0,0,0,0,0
fennel,sour cream,2,0,0,0,0,0,0,0,0,1
fennel,squid,2,0,0,0,2,0,0,0,0,0
fennel,yellow squash,2,0,1,2,0,0,0,0,0,2
feta,fish,2,0,0,0,1,0,0,0,0,0
feta,hazelnut,2,0,0,0,0,0,0,0,0,1
feta,hot pepper,2,0,0,0,0,0,0,0,0,0
feta,jalapeno,2,1,1,0,0,0,0,0,0,2
feta,leek,2,0,0,0,1,0,0,0,0,1
feta,lentil,2,0,0,0,0,0,0,0,0,0
feta,lime,2,1,1,0,0,0,0,0,0,2
feta,mustard,2,0,0,0,0,0,0,0,0,0
feta,orange,2,0,0,0,1,0,0,0,0,2
feta,oregano,2,0,0,0,0,0,0,0,0,2
feta,sausage,2,1,1,0,0,0,0,0,0,0
feta,vinegar,2,0,0,0,2,0,0,0,0,1
fig,grape,2,0,0,0,0,1,0,0,0,2
fig,jam or jelly,2,0,0,0,0,1,0,0,0,1
fig,liqueur,2,0,0,0,0,2,0,0,0,1
fig,pork tenderloin,2,0,0,0,1,0,0,0,0,0
fig,red wine,2,0,0,0,0,0,0,0,0,0
fig,rum,2,0,0,0,0,2,0,0,0,2
fig,sausage,2,0,0,0,0,0,0,0,0,0
fig,sour cream,2,0,0,0,0,2,0,0,0,1
fig,thyme,2,0,1,0,1,0,0,0,1,1
fig,tomato,2,1,0,0,0,0,0,0,0,0
fig,vanilla,2,0,0,0,0,2,0,0,0,0
fish,hazelnut,2,0,0,0,1,0,0,0,0,0
fish,lima bean,2,0,0,0,1,0,0,0,0,0
fish,lime juice,2,0,0,1,1,0,0,0,0,0
fish,macadamia nut,2,0,0,0,1,0,0,0,0,0
fish,mozzarella,2,0,1,1,0,0,0,0,0,0
fish,poultry,2,0,0,0,1,0,0,0,0,0
fish,sake,2,0,0,0,1,0,0,0,0,0
fish,sherry,2,0,0,0,1,0,0,0,0,0
fish,sugar snap pea,2,0,0,0,0,0,0,0,0,0
fish,tequila,2,0,0,1,2,0,0,0,0,0
fish,tilapia,2,0,0,0,1,0,0,0,0,0
fish,vodka,2,0,0,0,2,0,0,0,0,0
fish,walnut,2,0,0,0,0,0,0,0,0,0
fish,yuca,2,0,0,0,0,0,0,0,0,0
fontina,herb,2,0,0,0,0,0,0,0,0,2
fontina,mozzarella,2,0,0,0,0,0,0,0,0,0
fontina,rosemary,2,0,0,0,0,0,0,0,0,2
fontina,white wine,2,0,0,0,0,0,0,0,0,2
fruit juice,kirsch,2,0,0,0,0,0,0,2,0,0
fruit juice,lychee,2,0,0,0,0,1,0,1,1,1
fruit juice,martini,2,0,0,0,0,0,0,2,0,0
fruit juice,mushroom,2,0,0,0,0,0,0,0,0,0
fruit juice,pistachio,2,0,0,0,0,0,0,0,0,0
fruit juice,plum,2,0,0,0,0,1,0,1,0,1
fruit juice,pumpkin,2,0,0,0,0,1,0,0,0,0
fruit juice,salad dressing,2,0,0,0,0,0,0,0,0,0
fruit juice,scallop,2,0,0,0,0,0,0,0,0,0
fruit juice,sweet potato/yam,2,0,0,0,0,0,0,0,0,1
garlic,goose,2,0,0,0,0,0,0,0,0,0
garlic,ground lamb,2,0,0,1,1,0,0,0,0,0
garlic,guava,2,0,0,0,0,0,0,0,0,0
garlic,hazelnut,2,0,0,0,0,0,0,0,0,1
garlic,jicama,2,0,0,0,0,0,0,0,0,0
garlic,legume,2,0,0,0,0,0,0,0,0,1
garlic,maple syrup,2,0,0,0,0,0,0,0,0,0
garlic,marsala,2,0,0,0,0,0,0,0,0,1
garlic,mustard greens,2,0,0,0,0,0,0,0,0,1
garlic,octopus,2,0,0,1,1,0,0,0,0,0
garlic,okra,2,0,0,0,1,0,0,0,0,1
garlic,orange juice,2,0,0,2,2,0,0,0,0,0
garlic,paprika,2,0,0,1,2,0,0,0,0,1
garlic,pernod,2,0,0,0,0,0,0,0,0,0
garlic,phyllo/puff pastry dough,2,0,0,0,0,0,0,0,0,2
garlic,pineapple,2,0,0,0,0,0,0,0,0,0
garlic,quince,2,0,0,0,0,0,0,0,2,2
garlic,quinoa,2,0,0,1,1,0,0,0,1,2
gin,grapefruit,2,0,0,0,0,0,0,2,0,0
gin,honey,2,0,0,0,0,0,0,2,0,0
gin,kirsch,2,0,0,0,0,0,0,2,0,0
gin,nutmeg,2,0,1,0,0,0,0,2,0,0
gin,orange juice,2,0,0,0,0,0,0,2,0,0
gin,raisin,2,0,0,0,0,1,0,0,0,1
gin,rhubarb,2,0,1,0,0,0,0,1,1,1
gin,sparkling wine,2,0,1,0,0,0,0,2,1,1
gin,strawberry,2,0,0,0,0,0,0,2,0,0
gin,tequila,2,0,0,0,0,0,0,2,0,0
gin,wine,2,0,0,0,0,0,0,2,0,0
ginger,goat cheese,2,0,0,0,0,0,0,0,0,1
ginger,grape,2,0,0,0,0,1,0,0,1,1
ginger,kale,2,0,0,0,0,0,0,0,0,0
ginger,lamb chop,2,0,0,0,1,0,0,0,0,0
ginger,paprika,2,0,0,0,0,0,0,0,2,2
ginger,parsnip,2,0,0,0,0,1,0,0,0,1
ginger,persimmon,2,0,0,0,0,0,0,0,1,1
ginger,pomegranate,2,0,1,0,0,1,0,1,2,2
ginger,sausage,2,0,0,0,0,0,0,0,0,0
ginger,tangerine,2,0,0,0,0,0,0,1,0,0
ginger,tarragon,2,0,0,0,0,0,0,0,1,1
ginger,vodka,2,0,0,0,0,0,0,1,0,0
ginger,watermelon,2,0,0,1,0,0,0,0,2,2
goat cheese,green onion/scallion,2,1,2,2,0,0,0,0,0,1
goat cheese,ham,2,1,2,1,0,0,0,0,0,0
goat cheese,lamb,2,0,0,0,1,0,0,0,0,0
goat cheese,noodle,2,0,0,1,2,0,0,0,0,2
goat cheese,oregano,2,0,0,1,1,0,0,0,0,1
goat cheese,pecan,2,0,0,2,0,0,0,0,0,1
goat cheese,pistachio,2,0,0,0,1,0,0,0,0,2
goat cheese,quinoa,2,1,0,1,1,0,0,0,0,1
goat cheese,raisin,2,0,0,0,0,0,0,0,0,2
goat cheese,ricotta,2,1,0,0,0,0,0,0,0,1
goat cheese,sage,2,0,0,0,0,0,0,0,0,2
goat cheese,squash,2,0,0,0,1,0,0,0,0,2
goat cheese,sweet potato/yam,2,1,0,0,0,0,0,0,0,1
goat cheese,wine,2,0,0,1,0,0,0,0,0,1
goat cheese,yellow squash,2,0,1,1,0,0,0,0,0,2
goat cheese,yogurt,2,0,0,1,0,0,0,0,0,1
goose,port,2,0,0,0,0,0,0,0,0,0
goose,sausage,2,0,0,0,1,0,0,0,0,0
goose,tomato,2,0,0,0,1,0,0,0,0,0
grains,parmesan,2,0,0,0,2,0,0,0,0,0
granola,oat,2,1,0,0,0,0,0,0,0,1
grape,herb,2,0,0,0,1,0,0,0,0,1
grape,jalapeno,2,0,0,0,0,0,0,0,0,0
grape,melon,2,1,2,0,0,1,0,0,1,1
grape,milk/cream,2,0,0,0,0,2,0,0,0,2
grape,mushroom,2,0,0,0,0,0,0,0,0,0
grape,onion,2,0,0,0,0,0,0,0,0,1
grape,peach,2,0,0,0,0,1,0,1,0,0
grape,pine nut,2,0,0,0,1,0,0,0,0,0
grape,raisin,2,0,0,0,0,1,0,0,1,0
grape,sausage,2,0,0,0,1,0,0,0,0,0
grape,vodka,2,0,0,0,0,0,0,2,0,0
grape,wine,2,0,0,0,0,0,0,1,0,0
grapefruit,kumquat,2,0,0,0,0,1,0,0,1,1
grapefruit,lettuce,2,0,0,1,0,0,0,0,0,1
grapefruit,mango,2,0,0,1,1,0,0,0,1,2
grapefruit,olive,2,0,0,0,0,0,0,0,2,2
grapefruit,orange juice,2,0,0,0,0,0,0,1,0,0
grapefruit,parmesan,2,0,0,1,0,0,0,0,0,1
grapefruit,pear,2,1,1,0,0,2,0,0,1,2
grapefruit,pine nut,2,0,1,1,0,0,0,0,0,1
grapefruit,pork,2,0,0,1,0,0,0,0,0,0
grapefruit,radish,2,0,0,0,0,0,0,0,1,2
grapefruit,tequila,2,0,0,0,0,0,0,1,0,0
grapefruit,watercress,2,0,0,1,0,0,0,0,1,2
green bean,halibut,2,0,0,0,1,0,0,0,0,0
green bean,ham,2,0,0,0,1,0,0,0,0,0
green bean,honey,2,0,0,0,0,0,0,0,0,2
green bean,legume,2,0,0,0,1,0,0,0,0,2
green bean,noodle,2,0,0,0,0,0,0,0,0,1
green bean,oregano,2,0,0,0,0,0,0,0,0,0
green bean,poultry,2,0,0,0,1,0,0,0,0,0
green bean,quinoa,2,0,0,1,0,0,0,0,2,2
green bean,squash,2,0,0,0,0,0,0,0,0,2
green bean,sugar snap pea,2,0,0,1,0,0,0,0,1,1
green bean,thyme,2,0,0,0,0,0,0,0,1,1
green bean,tuna,2,0,0,0,0,0,0,0,0,0
green bean,yogurt,2,0,0,1,1,0,0,0,0,1
green onion/scallion,ham,2,0,1,1,0,0,0,0,0,1
green onion/scallion,herb,2,1,1,1,1,0,0,0,0,1
